Mechanics' name,Size,Status,Tutorial,In Game built (E/L),"Should the mechanics fit into other mechanics (clouds, thunderclouds, ice etc.)?",Fixed?,First layer?,A brief description of the mechanics,Graphics concept,comments / ideas / remarks,SFX,final graphics,First level
bouncy bomb,1x1,,,,yes,no,yes,"when hit, it jumps two squares in the opposite direction to the hit, on the third hit, it jumps and explodes",lips blowing a kiss,(if it hits a wall it bounces),,,
mechanical absorbs color,1x1,,,,yes,yes,yes,when it is hit with a blast mechanic it breaks all the blocks of the color it has,jewel ring,as cloud blast mechanic,,,
rainbow blocks,1x1,,,,yes,no,yes,normal colored blocks that change color every few minutes,color block whit raimbow picture in the center,,,,
death ray tower,1x2,,,,yes,yes,yes,"when receiving a hit it launches several rays that destroy some nearby random blocks, when it receives enough hits it is destroyed",party streamer box,,,,
bubblegum,1x1,,,,yes,yes,no,"mix of bubble and cloud. it starts as a pink bubble and when the block containing the bubble explodesthe bubble also explodes leaving gum trails on all adjacent squares, this trail works like a cloud and is destroyed with 1 hit",bubblegum,,,,
spicy bubblegum,1x1,,,,yes,yes,no,"works like gum but when the block containing the bubble explodes, the gum explodes doing 1 hit on all adjacent squares",red bubblegum,,,,
breaks in 2,1x1,,,,yes,no,yes,when receiving a hit it disappears and makes 2 parts appear randomly anywhere on the screen,"an orange sheet of paper, when hit it cuts out and makes two orange paper hearts appear",,,,
big breakable heart,2x2,,,,yes,yes,yes,"same as ""breaks in 2"" but this heart has to be hit three times and then it breaks into 4 parts",big breakable heart,,,,
bow trigger,1x1,,,,yes,no,yes,"needs two hits to break. when it breaks it allows to use the power up ""bow""",sheltf with bows,,,,
potion trigger,1x1,,,,yes,no,yes,"needs two hits to break. when it breaks it allows to use the power up ""potion""",chamistry equipment,,,,
car trigger,1x1,,,,yes,no,yes,"needs two hits to break. when it breaks it allows to use the power up ""car""",,,,,
